"station","latitude","longitude"
"19000800502",53.2939310228,-91.8207877431
"01000000101",48.4488292683,-89.1788902406
"01000000201",48.3934940182,-89.1999993657
"01000000301",48.3498503932,-89.2047077407
"01000000401",48.4482626433,-89.1663782406
"01000000501",48.4695002683,-89.1596874906
"01000000601",48.4644887683,-89.1653191156
"01000000701",48.3964600182,-89.0858498656
"01000000801",48.3256000181,-89.0235898655
"01000001001",48.3729900182,-89.1632098656
"01000001101",48.4215500182,-89.1645998656
"01000001201",48.3408388932,-89.1950728657
"01000001301",48.9574588937,-88.2470196148
"01000001401",48.9421366437,-88.2380052398
"01000001501",48.9263821437,-88.1801497397
"01000001601",48.8101485186,-86.9613268636
"01000001701",48.8125056436,-87.0026743636
"01000001801",48.8084091436,-86.9999882386
"01000001901",48.7238907685,-86.4333161131
"01000002001",48.7117330185,-86.397140738
"01000100102",47.0180435169,-84.7680721115
"01000900102",47.2382365171,-84.6452389864
"01001200102",47.3578908922,-84.6368114864
"01001400102",47.4321412673,-84.7312588615
"01002700102",47.7906118926,-84.8941729867
"01002900102",47.9225730178,-84.8047517366
"01002900202",47.9812443928,-84.7956571116
"01002900302",47.9378417678,-84.8107567366
"01002900402",47.9910852678,-84.7646077365
"01002900502",47.9392968928,-84.8296579866
"01002900602",47.9882201428,-84.7914059866
"01002900702",48.3492838932,-84.6203789864
"01002900802",48.0147045178,-84.8070699866
"01002900902",48.3587233932,-84.5377899863
"01005700102",48.6979231435,-85.5368506123
"01005700202",48.6538680184,-85.8929272376
"01006000102",48.7072868935,-86.2836309879
"01006000202",48.6879055185,-86.2126236129
"01006000302",48.8775727687,-85.8796529876
"01006000402",49.1322867689,-85.7464634874
"01006000502",49.1330271439,-85.7957644875
"01006000602",49.1400912689,-85.7419322374
"01006000702",49.1167392689,-85.9061271126
"01010800102",48.3586346432,-89.2876074907
"01010800202",48.3454387682,-89.3056488658
"01010800302",48.3524146432,-89.3018391157
"01010800402",48.3923191432,-89.2190566157
"01010800502",48.3710590182,-89.2486673657
"01010900102",48.3770843932,-89.2399692407
"01010900202",48.3773487682,-89.2122428657
"01011000102",48.3591600182,-89.2280998657
"01011500102",48.0844617679,-89.4460859909
"01011600102",48.0677335179,-89.535204991
"01011700102",48.0104502678,-89.7083347411
"02000600102",46.4251251414,-84.0886458609
"02000700102",46.5088640164,-84.0452683609
"03001500102",44.5745966396,-80.951306233
"03001500202",44.5742993897,-80.960086483
"03001500302",44.5754917647,-80.947767608
"03001600102",44.5675767646,-80.944235858
"03001600202",44.5636786396,-80.944201858
"03001600302",44.5221781396,-80.930890108
"03001600402",44.4683145146,-80.9053944829
"03001700102",44.6254553897,-80.8767886079
"03001700202",44.6238518897,-80.8757709829
"03001800102",44.6246398897,-80.8304764829
"03002000102",44.6814580147,-80.7845068578
"03002700102",44.6237708897,-80.6112286077
"03003000102",44.6073087647,-80.5890957326
"03003000202",44.5698777647,-80.6485039827
"03003600102",44.5641185146,-80.4489652325
"03003600202",44.5628191396,-80.4507769825
"03003600302",44.3935351395,-80.5384738576
"03003600402",44.3917686395,-80.5380106076
"03003600502",44.2795871394,-80.5458583576
"03003600602",44.3379896394,-80.3777033574
"03003600702",44.3539097644,-80.3684002324
"03003600802",44.3359460144,-80.3630236074
"03003600902",44.3460425144,-80.5401514826
"03004000102",44.5357851396,-80.3884263575
"03004100102",44.5361136396,-80.3825448575
"03004700102",44.5196486396,-80.2770584824
"03004700202",44.4989258896,-80.2778617324
"03004900102",44.5061868896,-80.2358037323
"03004900202",44.4900392646,-80.2423572323
"03004900302",44.4908776396,-80.2383408573
"03005300102",44.5030862646,-80.1977246073
"03005300202",44.4626415146,-80.2090504823
"03005400102",44.4883188896,-80.1670908573
"03005400202",44.4051313895,-80.1593529822
"03005700102",44.1608036393,-79.8443778569
"03005700202",44.1534141393,-79.879186982
"03005700302",44.1527217643,-79.896839982
"03005700402",44.3023471394,-79.898166232
"03005700502",44.3004543894,-79.900788232
"03005700602",44.5234911396,-80.0175871071
"03005700683",44.5234915146,-80.0175881071
"03005700702",44.1630606393,-79.8294863569
"03005700902",44.4214655145,-80.0966864822
"03005701002",44.3185476394,-79.886474482
"03005701102",44.0850923892,-80.1889798573
"03005701202",44.1073437642,-80.1768444823
"03005701302",44.0951831392,-79.7851132319
"03005701402",44.1078351392,-79.7713599819
"03005701502",44.1528262643,-79.914133482
"03005701602",44.0802722642,-80.1947861073
"03005701702",44.0444143892,-79.940188357
"03005701802",44.0920087642,-79.951946732
"03005701902",44.1642642643,-80.0022527321
"03005702002",44.1971893893,-80.0108541071
"03005702102",44.3052021394,-80.0016798571
"03005702202",44.3246082644,-80.1352788572
"03005702302",44.4519696395,-79.898427107
"03005702402",44.0410885141,-79.8112269819
"03005702502",44.4754745146,-80.0071281071
"03007000102",44.7359788898,-79.845397982
"03007000202",44.6170321397,-79.895305607
"03007300102",44.7395115148,-79.7853116069
"03007500102",44.7320257648,-79.7329273568
"03007600102",44.7095298898,-79.6444257318
"03007600202",44.7522148898,-79.6259371067
"03007700102",44.1264996392,-79.5042524816
"03007700202",44.1132361392,-79.5458397317
"03007700302",44.0797576392,-79.4548964816
"03007700402",44.0268668891,-79.6049228567
